2	520	147
3	684	157
1	831	283
1	197	338
2	204	343
1	690	317
1	753	214
2	824	153
3	211	120
2	841	248
2	625	127
1	329	397
3	748	277
2	584	278
2	500	307
2	562	237
1	400	201
3	448	181
2	304	148
3	529	105
1	166	368
2	248	361
1	692	280
2	747	191
3	680	110
3	803	363
1	719	359
1	894	115
3	197	301
3	447	213
1	544	273
2	885	340
3	227	251
3	374	150
2	838	236
3	530	272
3	719	113
1	230	164
1	234	130
1	738	233
3	517	386
1	821	248
1	668	235
2	248	213
3	717	117
1	285	244
2	172	304
2	332	208
3	230	383
3	223	387
1	895	186
2	379	217
2	380	144
3	434	328
3	801	346
2	561	341
2	607	319
1	320	205
3	683	108
1	259	397
